Plant,Material Number,Material Description
4350,82182VT030,"WIRE, LUGGAGE ROOM, NO.2"
4350,81483VT010,"PROTECTOR, FOG LAMP, RH"
4350,81481VT010,"COVER, FOG LAMP, RH"
4350,81480VT010,"LAMP ASSY, RR FOG"
4350,52040VT040,"COVER ASSY, FR BUMPER HOLE, LH"
4350,52030VT040,"COVER ASSY, FR BUMPER HOLE, RH"
4350,112980E030,"LABEL, EMISSION CONTROL INFORMATION"
4331,112980E030,"LABEL, EMISSION CONTROL INFORMATION"
4350,55539KK010,"COVER, SPARE SWITCH HOLE"
4331,55539KK010,"COVER, SPARE SWITCH HOLE"
4331,55549KK010,"COVER, INSTRUMENT PANEL HOLE, NO.2"
4331,67302KK010,"BEAM SUB-ASSY, DR SI-IMPACT PROTECT, LH"
4332,67303BZ200,"BEAM SUB-ASSY, RR DOOR PROTECTION, RH"
4331,112980E040,"LABEL, EMISSION CONTROL INFORMATION"
4332,67303BZ250,"BEAM SUB-ASSY, RR DOOR PROTECTION, RH"
4350,67303BZ250,"BEAM SUB-ASSY, RR DOOR PROTECTION, RH"
4331,67303KK020,"BEAM SUB-ASSY, RR DOOR PROTECTION, RH"
4332,67304BZ200,"BEAM SUB-ASSY, RR DOOR PROTECTION, LH"
4332,67304BZ250,"BEAM SUB-ASSY, RR DOOR PROTECTION, LH"
4350,67304BZ250,"BEAM SUB-ASSY, RR DOOR PROTECTION, LH"
4331,67304KK020,"BEAM SUB-ASSY, RR DOOR PROTECTION, LH"
4332,67317BZ150,"REINFORCEMENT, RR DOOR SIDE, RH"
4332,67318BZ110,"REINFORCEMENT, RR DOOR SIDE, LH"
4332,67331BZ130,"REINFORCE, FR DOOR CHECK, RH"
4332,67332BZ120,"REINFORCE, FR DOOR CHECK, LH"
4332,67333BZ140,"REINFORCEMENT, RR DOOR CHECK, RH"
4331,827150K400,"BRACKET, WIRING HARNESS CLAMP"
4332,67334BZ130,"REINFORCEMENT, RR DOOR CHECK, LH"
